Name,Description,Priority,Notes,IfUsed
Host hardware temperature status,Default alarm to monitor temperature.  See the host's Hardware Status tab for more details.,High,,
Host hardware voltage,Default alarm to monitor voltage.  See the host's Hardware Status tab for more details.,High,,
Host IP Address Conflict Alarm,Default alarm to indicate that the host has taken an IP address that conflicts with another host.,High,New in 6.5,
Host IPMI System Event Log status,Monitors the fullness of the IPMI System Event Log.  See the host's Hardware Status tab for more details.,Low,,
Host memory status,Default alarm to monitor memory.  See the host's Hardware Status tab for more details.,High,,
Host memory usage,Default alarm to monitor host memory usage,Medium,,
Host processor status,Default alarm to monitor processors.  See the host's Hardware Status tab for more details.,High,,
Host Requires Encryption Mode Enabled Alarm,Alarm to indicate that the host requires encryption mode enabled.,High,New in 6.7u1,
Host storage status,Default alarm to monitor storage.  See the host's Hardware Status tab for more details.,High,,
Host TPM attestation alarm,Default alarm that indicates host TPM attestation failure.,High,New in 6.7u2,
Host virtual flash resource status,Default alarm to monitor the VMware Flash Read Cache resource status on the host,Low,,
Host virtual flash resource usage,Default alarm to monitor the VMware Flash Read Cache resource usage on the host,Low,,
Hybrid vCenter Service Health Alarm,Default alarm that monitors the health status of Hybrid vCenter Service,High,New in 6.7u2,
Identity Health Alarm,Identity service alarm to monitor health status,Low,,
Image Builder Disk Exhaustion on vCenterServerHostname,Alarm that monitors vSphere Image Builder File System Resource Exhaustion.,High,New in 6.7u1,
Image Builder Service Health Alarm,Default alarm that monitors the health status of Image Builder Service.,Low,,
Improved virtual disk infrastructure namespaces storage policy alarm,Default alarm to monitor improved virtual disk infrastructure namespace storage policy status on the host.,Medium,New in 6.7u2,
Insufficient vSphere HA failover resources,Default alarm to alert when there are insufficient cluster resources for vSphere HA to guarantee failover,Low,,
KMS Client Certificate Status,This alarm indicates that the KMS client certificate is getting close to its expiration date.,High,New in 6.7u1,
KMS Server Certificate Status,This alarm indicates that the KMS server certificate is getting close to its expiration date.,High,New in 6.7u1,
License capacity monitoring,Default alarm to monitor if a license capacity is exceeded,Low,,
License error,Default alarm to monitor license errors,Low,,
License inventory monitoring,Default alarm to monitor if license inventory is not compliant,Low,,
License user threshold monitoring,Default alarm to monitor if a user-defined license threshold is exceeded,Low,,
Log Disk Exhaustion on vCenterServerHostname,Alarm that monitors vSphere Log File System Resource Exhaustion.,High,New in 6.7u1,
Memory Exhaustion on vCenterServerHostname,Alarm that monitors vSphere Memory Resource Exhaustion.,High,New in 6.7u1,
Message Bus Config Health Alarm,Message Bus Config service alarm to monitor health status,Medium,,
Migration error,"Default alarm to monitor if a virtual machine cannot migrate, relocate, or is orphaned",Low,,
Network connectivity lost,Default alarm to monitor network connectivity on a virtual switch,High,,
Network uplink redundancy degraded,Default alarm to monitor network uplink redundancy degradation on a virtual switch,High,,
Network uplink redundancy lost,Default alarm to monitor loss of network uplink redundancy on a virtual switch,High,,
No compatible host for Secondary VM,Default alarm to monitor if no compatible hosts are available to place Secondary VM,Low,,
Object type storage alarm,Default alarm that is triggered when a VASA provider raises an Object type alarm on an entity backing the datastore,Medium,,
Performance Charts Service Health Alarm,Performance Charts Service alarm to monitor health status,Low,,
PostgreSQL Archiver Service Health Alarm,Default alarm that monitors the health status of PostgreSQL Archiver Service.,High,New in 6.7u2,
PostgreSQL Service Health Alarm,Default alarm that monitors the health status of the PostgreSQL Service.,High,New in 6.5,
PSC Service Health Alarm.,Default alarm that monitors the health status of PSC Service.,High,New in 6.5,
RBD Health Alarm,RBD service alarm to monitor health status,Disabled,Only needed if using Autodeploy,
Refreshing CA certificates and CRLs for a VASA provider failed,Default alarm that monitors whether the refreshing of CA certificates and CRLs for some of the VASA providers has failed.,Low,,
Registration/unregistration of a VASA vendor provider on a vSAN host fails,Default alarm that monitors whether the registration or unregistration of a VASA vendor provider on a vSAN host fails.,Low,,
Registration/unregistration of third-party IO filter storage providers fails on a host,Default alarm that monitors whether vCenter Server fails to register or unregister third-party IO filter storage providers on a host.,Low,,
Root Disk Exhaustion on vCenterServerHostname,Alarm that monitors vSphere Root File System Resource Exhaustion.,High,New in 6.7u1,
SEAT Disk Exhaustion on vCenterServerHostname,"Alarm that monitors vSphere Stats, events, alarms, and tasks File System Resource Exhaustion.",High,New in 6.7u1,
Service Control Agent Health Alarm,Alarm that is triggered when the Service Control Agent is not reachable.,Low,,
Status of other host hardware objects,Default alarm to monitor objects.  See the host's Hardware Status tab for more details.,High,,
Storage DRS is not supported on a host,Alarm that monitors and alerts when Storage DRS is not supported on a host,Low,,
Storage DRS recommendation,Alarm that monitors a Storage DRS recommendation,Low,,
The host license edition is not compatible with the vCenter Server license edition,Default alarm to monitor if host license edition is not allowed,Low,,
Thin-provisioned volume capacity threshold exceeded,Default alarm that is triggered when the thin provisioning threshold on the storage array is exceeded for volume(s) backing the datastore,High,,
Timed out starting Secondary VM,Default alarm to monitor time-outs when starting a Secondary VM,Low,,
Unmanaged workload detected on SIOC-enabled datastore,Default alarm that is triggered if an unmanaged I/O workload is detected on a SIOC-enabled datastore,Low,,
Update Manager Disk Exhaustion on vCenterServerHostname,Alarm that monitors vSphere Update Manager File System Resource Exhaustion.,High,New in 6.7u1,
Update Manager Service Health Alarm,Default alarm that monitors the health status of Update Manager Service.,Low,New in 6.5,
VASA Provider certificate expiration alarm,Default alarm that is triggered when a VASA Provider certificate is about to expire,Low,,
VASA provider disconnected,Default alarm that is triggered when a VASA provider is in a disconnected state,Low,,
vCenter HA Cluster Health Alarm,Default alarm that monitors the health of vCenter HA,Medium,New in 6.5,
vCenter HA Service Health Alarm.,Default alarm that monitors the health status of vCenter HA Service.,Medium,New in 6.5,
vCenter Server Health Alarm,vCenter Server service alarm to monitor health status,Medium,,
vCenter Stats Monitor Service Health Alarm.,Default alarm that monitors the health status of vCenter Stats Monitor Service.,Low,New in 6.5,
VDS compliance check for hyperconverged cluster configuration,Default alarm to monitor changes for the health test 'VDS compliance check for hyperconverged cluster configuration',High,New in 6.7u1,
Virtual machine Consolidation Needed status,Default alarm that is triggered when virtual machine Consolidation Needed status is set,Medium,,
Virtual machine CPU usage,Default alarm to monitor virtual machine CPU usage,Disabled,Too many alerts,Low
Virtual machine error,Default alarm to monitor virtual machine error and warning events,Medium,,
Virtual machine Fault Tolerance state changed,Default alarm to monitor changes in the Fault Tolerance state of a virtual machine,Medium,,
Virtual Machine Fault Tolerance vLockStep interval Status Changed,Default Alarm to monitor changes in the Fault Tolerance Secondary vLockStep interval,Medium,,
Virtual Machine Locked Alarm,Alarm to indicate that the virtual machine is locked.,Medium,New in 6.7u1,
Virtual machine memory usage,Default alarm to monitor virtual machine memory usage,Disabled,Too many alerts,Low
Virtual Machine network adapter reservation status,Default alarm to monitor changes in the reservation status of a virtual machine network adapter,Medium,,
VM storage compliance alarm,Default alarm that is triggered when the virtual disk goes out of compliance with the object-based storage,Low,,
VMKernel NIC not configured correctly,Default alarm for incorrectly configured VMkernel NIC,Medium,,
vMon API Service Health Alarm,Default alarm that monitors the health status of vMon API Service.,Medium,New in 6.5,
VMware Directory Service Health Alarm,Default alarm that monitors the health of VMware Directory Service,High,New in 6.7u1,
VMware HTTP Reverse Proxy Service Health Alarm.,Default alarm that monitors the health status of HTTP Reverse Proxy Service.,Medium,New in 6.5,
VMware vAPI Endpoint Service Health Alarm,Default alarm that monitors the health status of the VMware vAPI Endpoint Service.,Medium,,
VMware vCenter-Services Health Alarm,VMware vCenter-Services alarm to monitor health status,Medium,New in 6.5,
VMware vSphere Authentication Proxy Service Health Alarm,Default alarm that monitors the health status of VMware vSphere Authentication Proxy Service.,Medium,New in 6.5,
VMware vSphere ESXi Dump Collector Health Alarm,Default alarm that monitors the health status of the VMware vSphere ESXi Dump Collector Service.,Low,,
VMware vSphere Profile-Driven Storage Service Health Alarm,Default alarm that monitors the health status of the VMware vSphere Profile-Driven Storage Service.,Low,,
vSAN Data Protection Service Health Alarm,Default alarm that monitors the health status of vSAN Data Protection Service.,High,New in 6.7u2. Can disable if not using VSAN,
vSAN hardware compatibility issues,Default alarm to monitor changes for the health tests related to vSAN hardware compatibility,Low,Can disable if not using VSAN,Low
vSAN health alarm 'Active multicast connectivity check',Default alarm to monitor changes for the health test 'Active multicast connectivity check',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Advanced vSAN configuration in sync',Default alarm to monitor changes for the health test 'Advanced vSAN configuration in sync',Medium,Can disable if not using VSAN,Medium
vSAN Health Alarm 'Advanced vSAN configuration supported',Default alarm to monitor changes for the online health test 'Advanced vSAN configuration supported',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'After 1 additional host failure',Default alarm to monitor changes for the health test 'After 1 additional host failure',High,Can disable if not using VSAN,High
vSAN health alarm 'All hosts contributing stats',Default alarm to monitor changes for the health test 'Checks if all host are contributing performance stats',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'All hosts have a vSAN vmknic configured',Default alarm to monitor changes for the health test 'All hosts have a vSAN vmknic configured',High,Can disable if not using VSAN,High
vSAN health alarm 'All hosts have matching multicast settings',Default alarm to monitor changes for the health test 'All hosts have matching multicast settings',High,Can disable if not using VSAN,High
vSAN health alarm 'Basic (unicast) connectivity check (normal ping)',Default alarm to monitor changes for the health test 'Basic (unicast) connectivity check (normal ping)',High,Can disable if not using VSAN,High
vSAN health alarm 'Cluster health',Default alarm to monitor changes for the health group test 'Cluster health',High,Can disable if not using VSAN,High
vSAN health alarm 'Component metadata health',Default alarm to monitor changes for the health test 'Component metadata health',High,Can disable if not using VSAN,High
vSAN health alarm 'Congestion',Default alarm to monitor changes for the health test 'Congestion',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Controller disk group mode is VMware certified',Default alarm to monitor changes for the health test 'Controller disk group mode is VMware certified',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Controller driver is VMware certified',Default alarm to monitor changes for the health test 'Controller driver is VMware certified',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Controller firmware is VMware certified',Default alarm to monitor changes for the health test 'Controller firmware is VMware certified',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Controller is VMware certified for ESXi release',Default alarm to monitor changes for the health test 'Controller is VMware certified for ESXi release',Low,Can disable if not using VSAN,Low
vSAN Health Alarm 'Controller utility is installed on host',Default alarm to monitor changes for the online health test 'Controller utility is installed on host',High,New in 6.7u1. Can disable if not using VSAN,
vSAN Health Alarm 'Controller with pass-through and RAID disks',Default alarm to monitor changes for the online health test 'Controller with pass-through and RAID disks',High,New in 6.7u1. Can disable if not using VSAN,
vSAN Health Alarm 'Coredump partition size check',Default alarm to monitor changes for the online health test 'Coredump partition size check',Medium,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'CPU AES-NI is disabled on hosts',Default alarm to monitor changes for the health test 'CPU AES-NI is enabled on hosts',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Current cluster situation',Default alarm to monitor changes for the health test 'Current cluster situation',High,Can disable if not using VSAN,High
vSAN health alarm 'Customer Experience Improvement Program (CEIP)',Default alarm to monitor changes for online health check 'Customer Experience Improvement Program (CEIP)',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Data health',Default alarm to monitor changes for the health group test 'Data health',High,Can disable if not using VSAN,High
vSAN Health Alarm 'Data protection archival target accessibility check',Default alarm to monitor changes for the health test 'vSAN Data protection archival target accessibility check',High,New in 6.7u1. Can disable if not using VSAN,
vSAN Health Alarm 'Data protection service version check',Default alarm to monitor changes for the health test 'Data protection service version check',Medium,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'Disk capacity',Default alarm to monitor changes for the health test 'Disk capacity',High,Can disable if not using VSAN,High
vSAN health alarm 'Disk format version',Default alarm to monitor changes for the health test 'Disk format version',Low,Can disable if not using VSAN,Low
vSAN Health Alarm 'Disks usage on storage controller',Default alarm to monitor changes for the online health test 'Disks usage on storage controller',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'ESXi vSAN Health service installation',Default alarm to monitor changes for the health test 'ESXi vSAN Health service installation',Low,Can disable if not using VSAN,Low
vSAN health alarm for 'Firmware provider health',Default alarm to monitor'Firmware provider' config issues,High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm for vMotion 'Basic (unicast) connectivity check (normal ping)',Default alarm for vMotion to monitor changes for the health test 'Basic (unicast) connectivity check (normal ping)',High,Can disable if not using VSAN,High
vSAN health alarm for vMotion 'MTU check (ping with large packet size)',Default alarm for vMotion to monitor changes for the health test 'MTU check (ping with large packet size)',Medium,Can disable if not using VSAN,Medium
vSAN health alarm for 'vSAN firmware recommendation',Default alarm to monitor recommendation from 'vSAN firmware recommendation',Medium,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'Home object',Default alarm to monitor changes for the health test 'Home object of iSCSI target service',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Host component limit',Default alarm to monitor changes for the health test 'Host component limit',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Host issues retrieving hardware info',Default alarm to monitor changes for the health test 'Host issues retrieving hardware info',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Host Maintenance Mode and Decommission State',Default alarm to monitor changes for the health test 'Host Maintenance Mode and Decommission State',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'Hosts disconnected from VC',Default alarm to monitor changes for the health test 'Hosts disconnected from VC',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Hosts with connectivity issues',Default alarm to monitor changes for the health test 'Hosts with connectivity issues',High,Can disable if not using VSAN,High
vSAN health alarm 'Invalid preferred fault domain on witness host',Default alarm to monitor changes for the health test 'Invalid preferred fault domain on witness host',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Invalid unicast agent',Default alarm to monitor changes for the health test 'Invalid unicast agent',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'iSCSI target service',Default alarm to monitor changes for the health group test 'iSCSI target service',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Limits health',Default alarm to monitor changes for the health group test 'Limits health',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Memory pools (heaps)',Default alarm to monitor changes for the health test 'Memory pools (heaps)',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Memory pools (slabs)',Default alarm to monitor changes for the health test 'Memory pools (slabs)',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'MTU check (ping with large packet size)',Default alarm to monitor changes for the health test 'MTU check (ping with large packet size)',High,Can disable if not using VSAN,High
vSAN health alarm 'Multicast assessment based on other checks',Default alarm to monitor changes for the health test 'Multicast assessment based on other checks',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Network adapter driver is VMware certified',Default alarm to monitor changes for the health test 'Network adapter driver is VMware certified',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'Network adapter firmware is VMware certified',Default alarm to monitor changes for the health test 'Network adapter firmware is VMware certified',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'Network adapter is VMware certified',Default alarm to monitor changes for the health test 'Network adapter is VMware certified',Ignore,New in 6.7u1. Can disable if not using VSAN,
vSAN Health Alarm 'Network adapter is VMware certified',Default alarm to monitor changes for the online health test 'Network adapter is VMware certified',Ignore,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'Network adapter is VMware certified for ESXi release',Default alarm to monitor changes for the health test 'Network adapter is VMware certified for ESXi release',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'Network configuration',Default alarm to monitor changes for the health test 'Network configuration of iSCSI target service',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Network health',Default alarm to monitor changes for the health group test 'Network health',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Network latency check',Default alarm to monitor changes for the health test 'Network latency check',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'No disk claimed on witness host',Default alarm to monitor changes for the health test 'No disk claimed on witness host',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Online health connectivity',Default alarm to monitor changes for online health check 'Online health connectivity',High,Can disable if not using VSAN,High
vSAN health alarm 'Operation health',Default alarm to monitor changes for the health test 'Operation health',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'Performance data collection',Default alarm to monitor changes for the health test 'Checks statistics collection of vSAN Performance Service',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Performance service status',Default alarm to monitor changes for the health test 'Checks status of vSAN Performance service',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Physical disk component limit health',Default alarm to monitor changes for the health test 'Physical disk component limit health',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Physical disk health',Default alarm to monitor changes for the health group test 'Physical disk health',High,Can disable if not using VSAN,High
vSAN health alarm 'Physical disk health retrieval issues',Default alarm to monitor changes for the health test 'Physical disk health retrieval issues',Medium,Can disable if not using VSAN,Medium
vSAN Health Alarm 'Physical network adapter speed consistency',Default alarm to monitor changes for the online health test 'Physical network adapter speed consistency',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'Preferred fault domain unset',Default alarm to monitor changes for the health test 'Preferred fault domain unset',Low,Can disable if not using VSAN,Low
vSAN Health Alarm 'RAID controller configuration',Default alarm to monitor changes for the online health test 'RAID controller configuration',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'Resync operations throttling',Default alarm to monitor changes for the health test 'Resync operations throttling',Low,Can disable if not using VSAN,Low
vSAN health alarm 'SCSI controller is VMware certified',Default alarm to monitor changes for the health test 'SCSI controller is VMware certified',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Service runtime status',Default alarm to monitor changes for the health test 'Service runtime status of iSCSI target service',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Site Latency Health',Default alarm to monitor changes for the health test 'Site Latency Health',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Software version compatibility',Default alarm to monitor changes for the health test 'Software version compatibility',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Space efficiency configuration consistency',Default alarm to monitor changes for the health test 'Space efficiency configuration consistency',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Space efficiency usage health',Default alarm to monitor changes for the health test 'Space efficiency usage health',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Stats DB object',Default alarm to monitor changes for the health test 'Checks status of vSAN Performance Service stats DB object',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Stats DB object conflicts',Default alarm to monitor changes for the health test 'Checks stats DB object conflicts',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Stats master election',Default alarm to monitor changes for the health test 'Checks stats master of vSAN Performance Service',Low,Can disable if not using VSAN,Low
vSAN health alarm 'Stretched cluster health',Default alarm to monitor changes for the health group test 'Stretched cluster health',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Time is not synchronized across hosts and VC,Default alarm to monitor changes for the health test 'Time is synchronized across hosts and VC',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Unexpected number of fault domains',Default alarm to monitor changes for the health test 'Unexpected number of fault domains',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Unicast agent configuration inconsistent',Default alarm to monitor changes for the health test 'Unicast agent configuration inconsistent',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Unicast agent not configured',Default alarm to monitor changes for the health test 'Unicast agent not configured',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Unsupported host version',Default alarm to monitor changes for the health test 'Unsupported host version',Low,Can disable if not using VSAN,Low
vSAN health alarm 'vCenter or hosts are not connected to Key Management Servers',Default alarm to monitor changes for the health test 'vCenter and all hosts are connected to Key Management Servers',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'vCenter state is authoritative',Default alarm to monitor changes for the health test 'vCenter state is authoritative',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'Verbose mode',Default alarm to monitor changes for the health test 'Checks the verbose mode status of the vSAN performance service',Low,Can disable if not using VSAN,Low
vSAN Health Alarm 'vSAN and VMFS datastores on a Dell H730 controller with the lsi_mr3 driver',Default alarm to monitor changes for the online health test 'vSAN and VMFS datastores on a Dell H730 controller with the lsi_mr3 driver',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'vSAN Build Recommendation Engine build recommendation',Default alarm to monitor changes for the health group test 'vSAN Build Recommendation Engine',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'vSAN Build Recommendation Engine Health',Default alarm to monitor changes for the health group test 'vSAN Build Recommendation Engine Health',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'vSAN Build Recommendation Engine Health' configuration issues,Default alarm to monitor changes for the health group test 'vSAN Build Recommendation Engine' configuration issues,Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'vSAN CLOMD liveness',Default alarm to monitor changes for the health test 'vSAN CLOMD liveness',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'vSAN cluster configuration consistency',Default alarm to monitor changes for the health test 'vSAN cluster configuration consistency',High,Can disable if not using VSAN,High
vSAN health alarm 'vSAN cluster partition',Default alarm to monitor changes for the health test 'vSAN cluster partition',Critical,Can disable if not using VSAN,Medium
vSAN Health Alarm 'vSAN configuration for LSI-3108 based controller',Default alarm to monitor changes for the online health test 'vSAN configuration for LSI-3108 based controller'',High,New in 6.7u1. Can disable if not using VSAN,
vSAN Health Alarm 'vSAN data protection health',Default alarm to monitor changes for the health test 'vSAN data protection health',Critical,New in 6.7u1. Can disable if not using VSAN,
vSAN Health Alarm 'vSAN data protection service configuration in sync',Default alarm to monitor changes for the health test 'vSAN data protection service configuration in sync',High,New in 6.7u1. Can disable if not using VSAN,
vSAN Health Alarm 'vSAN datastore usage threshold check',Default alarm to monitor changes for the data protection health test 'vSAN datastore usage threshold check',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'vSAN disk balance',Default alarm to monitor changes from health test 'vSAN disk balance',Medium,Can disable if not using VSAN,Medium
vSAN Health Alarm 'vSAN DPD liveness',Default alarm to monitor changes for the data protection health test 'vSAN DPD liveness',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'vSAN extended configuration in sync',Default alarm to monitor changes for the health test 'vSAN extended configuration in sync',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'vSAN HCL DB Auto Update',Default alarm to monitor changes for the health test 'vSAN HCL DB Auto Update',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'vSAN HCL DB up-to-date',Default alarm to monitor changes for the health test 'vSAN HCL DB up-to-date',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'vSAN HCL health',Default alarm to monitor changes for the health group test 'vSAN HCL health',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'vSAN Health Service up-to-date',Default alarm to monitor changes for the health test 'vSAN Health Service up-to-date',Medium,Can disable if not using VSAN,Medium
vSAN Health Alarm 'vSAN Hosts with new patch available',Default alarm to monitor changes for the online health test 'vSAN Hosts with new patch available',High,New in 6.7u1. Can disable if not using VSAN,
vSAN Health Alarm 'vSAN max component size',Default alarm to monitor changes for the online health test 'vSAN max component size',High,New in 6.7u1. Can disable if not using VSAN,
vSAN Health Alarm 'vSAN object data protection health',Default alarm to monitor changes for the health test 'vSAN object data protection health',High,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'vSAN object health',Default alarm to monitor changes for the health test 'vSAN object health',High,Can disable if not using VSAN,High
vSAN health alarm 'vSAN Performance Service health',Default alarm to monitor changes for the health group test 'vSAN Performance Service health',Medium,Can disable if not using VSAN,Medium
vSAN health alarm 'vSAN release catalog up-to-date',Default alarm to monitor changes for the health group test 'vSAN release catalog up-to-date',Medium,New in 6.7u1. Can disable if not using VSAN,
vSAN health alarm 'vSAN VM health',Default alarm to monitor changes for the health test 'vSAN VM health',High,Can disable if not using VSAN,High
vSAN health alarm 'vSphere cluster members do not match vSAN cluster members',Default alarm to monitor changes for the health test 'vSphere cluster members match vSAN cluster members',Medium,Can disable if not using VSAN,Medium
